cluster_id	KSLabel
0	good
1	mua
2	good
3	good
4	good
5	good
6	good
7	good
8	good
9	good
10	good
11	good
12	good
13	good
14	good
15	good
16	mua
17	mua
18	good
19	good
20	good
21	good
22	good
23	mua
24	good
25	good
26	good
27	good
28	mua
29	mua
30	good
31	good
32	mua
33	good
34	good
35	good
36	good
37	good
38	good
39	good
40	good
41	good
42	good
43	good
44	good
45	good
46	good
47	good
48	good
49	good
50	good
51	good
52	good
53	good
54	good
55	mua
56	good
57	mua
58	mua
59	good
60	good
61	good
62	good
63	good
64	mua
